"Title","Description","Prompt example","CS Specificity ","Region","Sector","Role","Target User","Value Explanation","Time saved per task (in hour)","Frequency per Year ","Expandability","Quality improvement","Ambassador comment","Security Compliant","Security Comments","Approval status"
"Timewriting Assistant for Daily Work History Logging","This Copilot use case helps engineers and office workers automatically generate their weekly timewriting logs by analyzing Outlook calendar events, Teams meetings, chat messages, and email activity based on microsoft 365 ecosystem. It extracts actual working hours, identifies attended calls and written communications, and maps them to the appropriate SO (Service Order) codes. The output is formatted in a structured table aligned with ASML’s timewriting format, making it easy to copy and paste into the official system. This reduces manual effort, improves accuracy, and ensures compliance with timewriting policies.","I want to analyze my office routine from Monday to Friday for timewriting. Specifically, I need to know when and for how long I actually worked each day. Organize it by hour and include items where I left logs by chatting or actually working. Highlight items where I attended calls or wrote chats in bold, and include SOs if possible so that it's easy to copy-paste. Refer to the attached image for the appropriate table format. Would you like me to now generate a full Monday–Friday version of this table using your actual meetings, chats, and emails from last week. Please continue with Monday through Friday in the same format and export the full week into an Excel or CSV file for easy copy-paste into ASML time-writing system. Please refer to timewriting policy : https://asml.sharepoint.com/sites/CS-KR-Ops-Support/Planning%20%26%20Control/PC%20CS%20FAQ/Time%20writing(Workday%20%26%20Fiori)/For%20Engineers/2025%20Timewriting%20policy%20updates.pdf ","CS Specific","Korea-Samsung","EUV","CS SEC EXE Comp ","Engineers",,"2","52","World Wide","High",,"Yes",,"3"
"Rapid Dashboard Blueprint Generation to Accelerate Development","During the initial phase of dashboard creation, I typically need to write extensive front-end and back-end code to define data sources, visualization components, and interaction logic. Copilot can generate a complete blueprint based on my prompt, including data engineering and UI layout, significantly reducing the time spent on boilerplate coding.","Zion input","CS Specific","TW/SEA","OPS","Data Analyst","PLs","Each feature takes approximately 0.5 hours to develop. On average, 5–6 features are built per day, and the entire project spans 3 weeks.","7.5","12","World Wide","High",,"Yes",,"3"
"Prepare for customer meetings by expected questions and comments about presentation ","After a draft of a powerpoint is completed, you can ask expected co pilot to give you example questions and comments that the customer might ask. You can give co-pilot a customer persona to get better feedback. Also you can request co-pilot to help you prepare an answer or improve the slides to cover the questions.","I’m a customer quality manager preparing this slide deck for Samsung EUV customers. Please review the slides and recent customer emails. The primary audience is a senior EUV quality manager who is very data-driven and focused on defectivity and tool uptime. They’ve previously raised concerns about recurring quality incident and slow cycle time. Based on this, generate 10 tough questions I might be asked during the presentation.”","CS Specific","Korea-Samsung","EUV","Customer Quality Manager","Managers","By getting feedback about slides, I am able to be better prepared for customer meeting and improve the quality of my slides","1","100","World Wide","High",,"Yes","CCI data need to be avoided","3"
"Programming assistant","Doing any task that requires some programming knowledge from Excel to Powerbi Co-Pilot Greatly helps it generating the code or the plots required. This reduces the time spent upskilling on this dramatically.  ","Excel Type of graphs for data
Excel Macro and Formula Generation
Powerbi Code. ","CS Specific","Europe","DUV","TL","Engineers",,"3","0","World Wide","High",,"Yes",,"3"
"Diagnostic time reduction - case question (by In-Bok Na)","""I think a function that quickly finds things from a 'know-where' perspective in Copilot is really useful.
It seems to search based on OneNote and Outlook, and if you upload your Outlook PST file to OneDrive and don’t delete it, Copilot can even find and organize past issues and derive action points (APs), which really helps reduce diagnostic time.""","'please provide information on Overlay case due to 'MI-FD47' and GCQ drop'","CS Specific","Korea-Samsung","DUV","2nd line manager","Engineers",,"0.5","180","World Wide","Medium",,"No","Copilot can access outlook based on your search, uploading a PST file in one drive not sure if its needed ?  ","3"
"Quickly Troubleshoot Custom Process Code","In my role I spend a good amount of time improving local processes and the best way to do this is with coding environments as it allows me to build something once, that everyone else can use to make their job easier day to day. As those who have coded before, debugging things that do not work can be troublesome and I have found co-pilot super useful for helping me navigate my code, or locate solutions to problems that others have already had with for example MATLAB diagnostic scripts.  ","This is my code, **code block**, and I am coding in the power apps enviornment. This code is attempting select a popup for the end user depending on what team code they have, and if they have properly filled out 3 other combo boxes. The code referencing the team code does not appear to be working properly as nothing is triggered. The team code is a comma delimited string, see any obvious issues with what I have written or is the issue likely somewhere else?","CS Specific","US","DUV","2nd Line Tech Lead","Engineers","Whenever I feel the need to diagnose a coding issue, it usually requires research and research on the internet with static searches is very slow.","2","100","World Wide","High",,"Yes",,"3"
"VBA Excel Code creation","Utilize CoPilot to support with VBA code problems, solutions, optimization, etc. when building VBA code. ","Various prompts were used and more in a conversational way; since writing code is an iterative process. ","CS Specific","Netherlands","EUV","Analyst ","Engineers","Prevent mistakes, improve robustness","7","12","Team","High",,"Yes",,"3"
"SAP Transaction WIKI","Today if you want to find out what is the purpose of SU3, ZMEC, ZMATCONF you need to check myASML, local KTs, Knowledge pages. Quality of these documents is also a gamble. With Co-pilot you have simple explanation (can be prompted for specific procedure-like instructions)","Describe what SU3 and how do i use it. 
Explain what MB03 is and who uses it. 
What is ZEQBI in context of SAP transaction.
What is IQS3 and what do i use it for?
Teach me please how to use ZTANGO transaction in ASML SAP system
","CS Specific","US","OPS","Program Manager","all","It typically took me 5-10 min to locate KT first only never to find out what this transaction actually does. 10 - 15 mins saved per search.","0.5","200","World Wide","High",,"Yes",,"3"
"Debugging PowerAutomate Queries","Used Copilot to debug issues with Microsoft's PowerAutomate backend while developing/modifying queries for an existing Automation Workflow (passdown automation).","One of my PowerAutomate flows is triggering itself twice. I believe it's not an accidental ""loop"" inside of the flow, since I actually see two instances of the flow (for each event) showing up in my run history, and there is no item inside my flow which can generate a trigger as far as I know. My trigger is ""When a new message is added to a chat or channel"", and I'm adding/updating items to a Microsoft List using my flow.","CS Specific","US","EUV","Technical Support","Engineers",,"2","5","Team","Low",,"Yes",,"3"
"AI agent for AI automation with specific tasks","Team uses PLT logbook to record all system related information including downtime bucketing. The logbook is monitored daily and weekly to extract information for the availability of the system. This is transcribed manually. For shift to shift passdown, engineers review the logbook from actions performed when off-shift. This is also done manually. For escalations and XLDs, data is manually transcribed to bucket the details of the delays and structural issues. Having a method to automatically summarize and pull information from the logbook based on time interval and information needed would save ~16Hrs per week of engineer time.

What is done:
1. Logbook PLT collector is created and up running
2. Automatic prompt Copilot AI submitter is created 
3. Copilot respond collector is created 
Challenges:
1. Identify how structure data input is needed for AI to get best results
2. Fine tune prompt to get: 
a. Reliable results
b. Consistent formatting
","Work in progress to fine tune prompt. Most likely it will be set of prompt that run in separate sessions or combined. Here is current draft:
You are professional summarizer. Here are links to logbook files per machine.
For machine ET05: https://asml.sharepoint.com/sites/eScan11006s/Shared%20Documents/ET05%20Pilot1%20(Intel%20Logic)/ET05_Intel_Pilot1_Logs/mET05_logbook.txt
Logbook file contain entries made by engineers, each entry has timestamp in ISO 8601 format
example 1: 2025-06-18 14:27
example 2: 2025-06-21 15:55
and four letter abbreviation of engineer name
example 1: LOIE
example 2: POEI
Each day starts with ""Plan for the Day"" and follows by actions taken on the tool
Make summary for {startdate}.
Summary should start with machine name, timestamp, what was ""Plan for the Day"" and then in bullet format what was done during this day
followed by engineer abbreviation and problems occurred.
Cover whole day. Highlight actions by green color and issues by red color.
Indicate if ""Plan of the day"" was accomplished. Be precise and explicit.

Here is example of summary:
🛠 Machine: ET05
Date: 2025-07-19
Plan for the Day:
Action 1
Action 2
Action 3
✅ Actions Taken:
🟩 time stamp — action 1 (LOIE)
🟩 time stamp — action 2 (LOIE) 
🟥 Issues Encountered:
🟥 time stamp — Issue 1 (POEI) 
🟥 time stamp — Issue 1 (LOIE) 
 Outcome:","CS Specific","US","HMI","Data Engineer","Engineers",,"16","52","World Wide",,,"No","Logbooks as we know would have CCI data, need to have a risk acceptance on using logbook with copilot","3"
